"year","shapeID","country","adm2","built_m2"
2017,"17698898B67359070524975","AFG","Deh Bala",615104.29760816
2017,"17698898B98443198567384","AFG","Gulran",405951.768028074
2017,"17698898B82675281335003","AFG","Koshk",757807.550185644
2017,"17698898B74585757664988","AFG","Chaparhar",4687069.49810607
2017,"17698898B84066352785355","AFG","Koshki Kohna",80491.0011781082
2017,"17698898B31168234973124","AFG","Pachier Agam",830017.834127719
2017,"17698898B88962028797570","AFG","Kohsan",1129482.19299695
2017,"17698898B58246966451205","AFG","Khogayani",3448995.68843686
2017,"17698898B9118080572878","AFG","Shirzad",994968.066370844
2017,"17698898B30811011988841","AFG","Ghoryan",1772653.93527523
2017,"17698898B26698492431192","AFG","Hesarak",673357.00850277
2017,"17698898B40667895693210","AFG","Zanda  Jan
",832264.445279937
2017,"17698898B91002428816885","AFG","Azra",115200.549435622
2017,"17698898B41376487693068","AFG","Guzara",3884870.80584618
2017,"17698898B76505255120202","AFG","Karukh",500956.608335734
2017,"17698898B14177024461677","AFG","Ali Khail (Jaji)",927463.127889944
2017,"17698898B13869186183429","AFG","Dand Patan",967736.361579063
2017,"17698898B48568225140824","AFG","Pashtun Zarghun",1108930.26015835
2017,"17698898B82499644290934","AFG","Chamkani",1884756.70907905
2017,"17698898B63154587164483","AFG","Laja Ahmad Khail",448828.766792402
2017,"17698898B66498358059232","AFG","Sayed Karam",570137.979468532
2017,"17698898B88187802806148","AFG","Ahmad Abad",1128531.07981925
2017,"17698898B82424005626981","AFG","Obe",782222.602997416
2017,"17698898B50071469520952","AFG","Jani Khail",130769.835209876
2017,"17698898B70680099642368","AFG","Farsi",2545.39995700233
2017,"17698898B10808081288517","AFG","Gardiz",8784940.70574857
2017,"17698898B98040886120926","AFG","Zurmat",3533682.7044717
2017,"17698898B63284847438017","AFG","Anar Dara",251911.569911282
2017,"17698898B57803424859740","AFG","Shawak",23963.7033655868
2017,"17698898B70788174101538","AFG","Qala Ka",178253.367812766
2017,"17698898B43056583417710","AFG","Khaki Safed",104596.546935979
2017,"17698898B23157226416647","AFG","Shindand",3655960.44162259
2017,"17698898B94993264286601","AFG","Zadran",273983.501310191
2017,"17698898B38396690303170","AFG","Jaji Maidan",1093901.95557748
2017,"17698898B23350919974293","AFG","Bak",1101442.30301869
2017,"17698898B4337459540017","AFG","Shib Koh",462694.350990609
2017,"17698898B69525481970606","AFG","Sabri",3478714.45678546
2017,"17698898B12487072568653","AFG","Lash Wa Juwayn",119003.030763141
2017,"17698898B13286214983571","AFG","Tere Zayi",3061706.72743191
2017,"17698898B71599149457148","AFG","Pusht Rod",393014.965260084
2017,"17698898B48544319080592","AFG","Mosa Khail",383932.069382773
2017,"17698898B12847742424468","AFG","Farah",6938078.30808452
2017,"17698898B50021728189298","AFG","Qalandar",77466.5057032908
2017,"17698898B60738219309416","AFG","Bala Buluk",678795.511681909
2017,"17698898B35159094518715","AFG","Nadir Shah Kot",1495732.92635901
2017,"17698898B61842936481586","AFG","Gulistan",46395.2792066449
2017,"17698898B7218373032226","AFG","Khost(Matun)",13896793.6927767
2017,"17698898B51729905625670","AFG","Gurbuz",1821737.83638375
2017,"17698898B41043106697334","AFG","Pur Chaman",58643.4162828301
2017,"17698898B31116405926030","AFG","Mando Zayi",5158920.0695705
2017,"17698898B67472405327916","AFG","Tani",2452649.41950428
2017,"17698898B50082095746100","AFG","Chahar Dara",2889160.18751334
2017,"17698898B63900733266218","AFG","Bakwa",72917.7298929878
2017,"17698898B16828551038730","AFG","Shamal",203533.675507296
2017,"17698898B60886536033067","AFG","Kunduz",11414115.2942929
2017,"17698898B16660327351788","AFG","Spira",361239.471781429
2017,"17698898B59041256807288","AFG","Guzargahi Nur",3019.32736228144
2017,"17698898B22210022467973","AFG","Mohammad Agha",303364.353848287
2017,"17698898B48695657788361","AFG","Khoshi",55646.9482467642
2017,"17698898B99069409178709","AFG","Farang Wa Gharu",19115.5990121774
2017,"17698898B11646874618159","AFG","Puli Alam",1786526.34998916
2017,"17698898B6565197896692","AFG","Khost Wa Firing",121917.805277342
2017,"17698898B34606037215802","AFG","Baraki Barak",1738801.29950914
2017,"17698898B10942587519321","AFG","Puli Hisar",20614.2455912356
2017,"17698898B52143357969212","AFG","Charkh",526829.240200819
2017,"17698898B82701186075668","AFG","Kharwar",291228.724067722
2017,"17698898B87088675092373","AFG","Burka",1031307.32951359
2017,"17698898B97188555075093","AFG","Khas Kunar",1143084.49279051
2017,"17698898B50805537510816","AFG","Nurgal",497002.541978708
2017,"17698898B284678917294","AFG","Dih Salah",164418.346228176
2017,"17698898B13238252869015","AFG","Chawkay",924575.112512229
2017,"17698898B633920692247","AFG","Khwaja Hijran (Jilga Nahrin)",7992.54898953196
2017,"17698898B49094759287106","AFG","Narang",1293654.10310485
2017,"17698898B66712247557735","AFG","Kang",33232.5704412919
2017,"17698898B32644110556911","AFG","Baghlani Jadid",5277308.023245
2017,"17698898B43925637284130","AFG","Chapa Dara",433646.956583551
2017,"17698898B39156943056373","AFG","Zaranj",6343607.25722599
2017,"17698898B74946320403220","AFG","Asadabad",1648708.38352702
2017,"17698898B34012534665236","AFG","Puli Khumri",5133826.27841553
2017,"17698898B12728543796406","AFG","Sarkani",679978.34022896
2017,"17698898B34314103911118","AFG","Chahar Burjak",480869.883096153
2017,"17698898B22383427297645","AFG","Nahrin",994608.609921608
2017,"17698898B77023916462062","AFG","Marawara",473084.01585262
2017,"17698898B69274941627579","AFG","Chakhansur",180987.646850473
2017,"17698898B69264511161666","AFG","Andarab",48001.0083698966
2017,"17698898B17409379319517","AFG","Khinjan",358050.604995265
2017,"17698898B95618579984997","AFG","Shaygal wa shital",622892.042310245
2017,"17698898B58844392220215","AFG","Khash Rod",690749.984823405
2017,"17698898B27904956690533","AFG","Dushi",814521.268455831
2017,"17698898B49910454876794","AFG","Dara-I-Pech",797974.434771945
2017,"17698898B25309519003719","AFG","Dishu",186601.037041224
2017,"17698898B98707545256283","AFG","Dahana-I- Ghuri",611858.690285375
2017,"17698898B10413991082827","AFG","Wata Pur",407909.468855312
2017,"17698898B2508287101636","AFG","Reg(Khanshin)",166605.740995081
2017,"17698898B52947947135359","AFG","Tala Wa Barfak",25938.2461364467
2017,"17698898B27007301103583","AFG","Dangam",204755.13524482
2017,"17698898B34482796057231","AFG","Garmser",270813.274564985
2017,"17698898B82085678459106","AFG","Bar Kunar",186409.917069201
2017,"17698898B9822156796156","AFG","Paryan",1634.75202675357
2017,"17698898B23236612264479","AFG","Nawa-I- Barak Zayi",120387.423942678
2017,"17698898B49694139697201","AFG","Ghaziabad",196695.762597846
2017,"17698898B57544196063492","AFG","Khenj (Hese- Awal)",24968.9934743619
2017,"17698898B93501902948280","AFG","Nad Ali",658526.969885412
2017,"17698898B78521415915100","AFG","Nari",320048.249484876
2017,"17698898B70025799678944","AFG","Ziruk",95723.3887349472
2017,"17698898B22352554505248","AFG","Nahri Sarraj",1705307.81906969
2017,"17698898B32986423945251","AFG","Bazarak",225986.058340205
2017,"17698898B167183806480","AFG","Lashkar Gah",5130873.00885567
2017,"17698898B76017578354726","AFG","Nika",31166.2092003266
2017,"17698898B71703822686681","AFG","Dara",136.8666744243
2017,"17698898B63216716382211","AFG","Sangin",458887.878689801
2017,"17698898B31718885342690","AFG","Gayan",136520.232739474
2017,"17698898B51750891516418","AFG","Rukha",137533.137428906
2017,"17698898B29414773205721","AFG","Kajaki",632329.895202157
2017,"17698898B81639948392076","AFG","Urgun",1437919.21319912
2017,"17698898B86893454332633","AFG","Unaba",238771.689720696
2017,"17698898B96274707297205","AFG","Naw Zad",185222.860592821
2017,"17698898B73657459588515","AFG","Sar Hawza",247071.080628023
2017,"17698898B27579571424346","AFG","Shutul",12323.7435263716
2017,"17698898B14674073600616","AFG","Musa Qala",792282.396143697
2017,"17698898B70029244120792","AFG","Mata Khan",225750.114248273
2017,"17698898B62190249131225","AFG","Alasay",295463.749875654
2017,"17698898B15919803433958","AFG","Sharan",1048558.46547644
2017,"17698898B34489246879191","AFG","Baghran",194610.307232913
2017,"17698898B88758953841617","AFG","Tagab",1787354.41562141
2017,"17698898B35828896947271","AFG","Barmal",1092490.69810257
2017,"17698898B86043618783876","AFG","Registan",48054.4869626264
2017,"17698898B39301080815863","AFG","Sarobi",365932.921708239
2017,"17698898B39893624636258","AFG","Mahmudi Raqi",430965.642751054
2017,"17698898B62386399242941","AFG","Shorabak",134601.485373054
2017,"17698898B71465249447941","AFG","Omna",43164.7933081822
2017,"17698898B3457791350599","AFG","Yosuf Khel",124520.169276244
2017,"17698898B90427677065575","AFG","Hisa-i-Duwumi Kohistan",405467.42472556
2017,"17698898B16178473007687","AFG","Spin Boldak",5362148.91108557
2017,"17698898B76739008753314","AFG","Yahya Khel",83096.3929385983
2017,"17698898B22800261216411","AFG","Hisa-i-Awali Kohistan",509685.966825744
2017,"17698898B69048224790287","AFG","Arghistan",823844.367832105
2017,"17698898B30671190728626","AFG","Zarghun Shahr",421054.192060655
2017,"17698898B87789129076781","AFG","Panjwayi",489460.678607869
2017,"17698898B85596304948243","AFG","Salang",31204.33525956
2017,"17698898B3536630965398","AFG","Kandahar",14608051.4132086
2017,"17698898B46371415071663","AFG","Jabalussaraj",577342.949685043
2017,"17698898B85546935814968","AFG","Jani Khel",279720.503721251
2017,"17698898B75395514710531","AFG","Daman",2064413.1665501
2017,"17698898B96190613421572","AFG","Kohi Safi",8696.3147862658
2017,"17698898B75574585660656","AFG","Dila",121653.247793021
2017,"17698898B71321154096819","AFG","Shah Wali Kot",255825.602140865
