"year","shapeID","country","adm2","built_m2"
2002,"17698898B67359070524975","AFG","Deh Bala",210915.63741106
2002,"17698898B98443198567384","AFG","Gulran",391472.490752242
2002,"17698898B82675281335003","AFG","Koshk",662395.477142917
2002,"17698898B74585757664988","AFG","Chaparhar",1535010.99282554
2002,"17698898B84066352785355","AFG","Koshki Kohna",76133.801049991
2002,"17698898B31168234973124","AFG","Pachier Agam",309177.134219552
2002,"17698898B88962028797570","AFG","Kohsan",1057057.82816633
2002,"17698898B58246966451205","AFG","Khogayani",1323761.704236
2002,"17698898B9118080572878","AFG","Shirzad",383908.817818486
2002,"17698898B30811011988841","AFG","Ghoryan",1706426.45572448
2002,"17698898B26698492431192","AFG","Hesarak",360192.021462806
2002,"17698898B40667895693210","AFG","Zanda  Jan
",795919.899493102
2002,"17698898B91002428816885","AFG","Azra",47622.2511394415
2002,"17698898B41376487693068","AFG","Guzara",2831220.64584801
2002,"17698898B76505255120202","AFG","Karukh",466250.330313089
2002,"17698898B14177024461677","AFG","Ali Khail (Jaji)",435430.176383953
2002,"17698898B13869186183429","AFG","Dand Patan",415516.916297411
2002,"17698898B48568225140824","AFG","Pashtun Zarghun",1057583.02842929
2002,"17698898B82499644290934","AFG","Chamkani",1081445.63423418
2002,"17698898B63154587164483","AFG","Laja Ahmad Khail",197488.629583067
2002,"17698898B66498358059232","AFG","Sayed Karam",224999.804474343
2002,"17698898B88187802806148","AFG","Ahmad Abad",479093.781889105
2002,"17698898B82424005626981","AFG","Obe",711133.362428353
2002,"17698898B50071469520952","AFG","Jani Khail",65048.9544621047
2002,"17698898B70680099642368","AFG","Farsi",2479.19985459894
2002,"17698898B10808081288517","AFG","Gardiz",4236140.53040854
2002,"17698898B98040886120926","AFG","Zurmat",1819627.64296752
2002,"17698898B63284847438017","AFG","Anar Dara",236282.388566486
2002,"17698898B57803424859740","AFG","Shawak",15792.0449239429
2002,"17698898B70788174101538","AFG","Qala Ka",168046.856986929
2002,"17698898B43056583417710","AFG","Khaki Safed",101362.609837819
2002,"17698898B23157226416647","AFG","Shindand",3555266.64901457
2002,"17698898B94993264286601","AFG","Zadran",108301.330188707
2002,"17698898B38396690303170","AFG","Jaji Maidan",429983.958341589
2002,"17698898B23350919974293","AFG","Bak",474406.910793075
2002,"17698898B4337459540017","AFG","Shib Koh",447634.51860963
2002,"17698898B69525481970606","AFG","Sabri",1833386.15065374
2002,"17698898B12487072568653","AFG","Lash Wa Juwayn",110736.346029557
2002,"17698898B13286214983571","AFG","Tere Zayi",984504.221308776
2002,"17698898B71599149457148","AFG","Pusht Rod",380852.435482463
2002,"17698898B48544319080592","AFG","Mosa Khail",186290.918694643
2002,"17698898B12847742424468","AFG","Farah",5641657.72557104
2002,"17698898B50021728189298","AFG","Qalandar",57076.0750023118
2002,"17698898B60738219309416","AFG","Bala Buluk",651138.49067526
2002,"17698898B35159094518715","AFG","Nadir Shah Kot",708697.195687988
2002,"17698898B61842936481586","AFG","Gulistan",44292.1129407297
2002,"17698898B7218373032226","AFG","Khost(Matun)",7910484.17777808
2002,"17698898B51729905625670","AFG","Gurbuz",760336.194973205
2002,"17698898B41043106697334","AFG","Pur Chaman",56353.1080736008
2002,"17698898B31116405926030","AFG","Mando Zayi",3753738.91524854
2002,"17698898B67472405327916","AFG","Tani",921168.007250527
2002,"17698898B50082095746100","AFG","Chahar Dara",2446499.39048381
2002,"17698898B63900733266218","AFG","Bakwa",70252.3728436492
2002,"17698898B16828551038730","AFG","Shamal",74287.8952077212
2002,"17698898B60886536033067","AFG","Kunduz",7974432.55507374
2002,"17698898B16660327351788","AFG","Spira",186677.608864211
2002,"17698898B59041256807288","AFG","Guzargahi Nur",1989.54910807952
2002,"17698898B22210022467973","AFG","Mohammad Agha",231350.463414461
2002,"17698898B48695657788361","AFG","Khoshi",28705.3487494913
2002,"17698898B99069409178709","AFG","Farang Wa Gharu",17518.1992205798
2002,"17698898B11646874618159","AFG","Puli Alam",1353660.08804114
2002,"17698898B6565197896692","AFG","Khost Wa Firing",96589.0034238067
2002,"17698898B34606037215802","AFG","Baraki Barak",1271388.70870751
2002,"17698898B10942587519321","AFG","Puli Hisar",18151.9276636725
2002,"17698898B52143357969212","AFG","Charkh",382242.535234848
2002,"17698898B82701186075668","AFG","Kharwar",148059.324917057
2002,"17698898B87088675092373","AFG","Burka",316546.771564139
2002,"17698898B97188555075093","AFG","Khas Kunar",282649.7006075
2002,"17698898B50805537510816","AFG","Nurgal",216295.479608916
2002,"17698898B284678917294","AFG","Dih Salah",134586.422234768
2002,"17698898B13238252869015","AFG","Chawkay",311591.871616443
2002,"17698898B633920692247","AFG","Khwaja Hijran (Jilga Nahrin)",7748.74889886682
2002,"17698898B49094759287106","AFG","Narang",465858.179942936
2002,"17698898B66712247557735","AFG","Kang",30367.8030851296
2002,"17698898B32644110556911","AFG","Baghlani Jadid",3823061.72354351
2002,"17698898B43925637284130","AFG","Chapa Dara",198889.289946646
2002,"17698898B39156943056373","AFG","Zaranj",6140695.43154019
2002,"17698898B74946320403220","AFG","Asadabad",589558.265522159
2002,"17698898B34012534665236","AFG","Puli Khumri",3572807.83373974
2002,"17698898B12728543796406","AFG","Sarkani",225475.570491773
2002,"17698898B34314103911118","AFG","Chahar Burjak",461720.900625077
2002,"17698898B22383427297645","AFG","Nahrin",652123.926319027
2002,"17698898B77023916462062","AFG","Marawara",173867.268582856
2002,"17698898B69274941627579","AFG","Chakhansur",176177.92991486
2002,"17698898B69264511161666","AFG","Andarab",28184.3007678081
2002,"17698898B17409379319517","AFG","Khinjan",237804.549559939
2002,"17698898B95618579984997","AFG","Shaygal wa shital",242501.973515951
2002,"17698898B58844392220215","AFG","Khash Rod",648816.709008635
2002,"17698898B27904956690533","AFG","Dushi",408742.774732936
2002,"17698898B49910454876794","AFG","Dara-I-Pech",343982.59316979
2002,"17698898B25309519003719","AFG","Dishu",182441.593341851
2002,"17698898B98707545256283","AFG","Dahana-I- Ghuri",407412.235622569
2002,"17698898B10413991082827","AFG","Wata Pur",167778.152654857
2002,"17698898B2508287101636","AFG","Reg(Khanshin)",160340.987712029
2002,"17698898B52947947135359","AFG","Tala Wa Barfak",23916.6457097735
2002,"17698898B27007301103583","AFG","Dangam",116559.146943715
2002,"17698898B34482796057231","AFG","Garmser",253647.433363989
2002,"17698898B82085678459106","AFG","Bar Kunar",77247.1638362877
2002,"17698898B9822156796156","AFG","Paryan",1586.89872888259
2002,"17698898B23236612264479","AFG","Nawa-I- Barak Zayi",109295.262578059
2002,"17698898B49694139697201","AFG","Ghaziabad",110436.419695707
2002,"17698898B57544196063492","AFG","Khenj (Hese- Awal)",21659.6543264229
2002,"17698898B93501902948280","AFG","Nad Ali",571174.738190949
2002,"17698898B78521415915100","AFG","Nari",157563.09893205
2002,"17698898B70025799678944","AFG","Ziruk",51970.8773076952
2002,"17698898B22352554505248","AFG","Nahri Sarraj",1454211.70915888
2002,"17698898B32986423945251","AFG","Bazarak",103156.085290409
2002,"17698898B167183806480","AFG","Lashkar Gah",4000362.01750418
2002,"17698898B76017578354726","AFG","Nika",23927.0754923045
2002,"17698898B71703822686681","AFG","Dara",113.335718068831
2002,"17698898B63216716382211","AFG","Sangin",429320.449432793
2002,"17698898B31718885342690","AFG","Gayan",62811.6006191581
2002,"17698898B51750891516418","AFG","Rukha",64443.2793626393
2002,"17698898B29414773205721","AFG","Kajaki",591290.851589626
2002,"17698898B81639948392076","AFG","Urgun",406585.460049366
2002,"17698898B86893454332633","AFG","Unaba",118609.272807613
2002,"17698898B96274707297205","AFG","Naw Zad",178577.206010625
2002,"17698898B73657459588515","AFG","Sar Hawza",111822.631487318
2002,"17698898B27579571424346","AFG","Shutul",3020.17755271108
2002,"17698898B14674073600616","AFG","Musa Qala",690297.008214874
2002,"17698898B70029244120792","AFG","Mata Khan",157080.062018832
2002,"17698898B62190249131225","AFG","Alasay",109719.170073468
2002,"17698898B15919803433958","AFG","Sharan",578062.414927733
2002,"17698898B34489246879191","AFG","Baghran",185815.32628874
2002,"17698898B88758953841617","AFG","Tagab",1134734.99794838
2002,"17698898B35828896947271","AFG","Barmal",565373.496832152
2002,"17698898B86043618783876","AFG","Registan",46161.312713484
2002,"17698898B39301080815863","AFG","Sarobi",164790.778484795
2002,"17698898B39893624636258","AFG","Mahmudi Raqi",313867.127950508
2002,"17698898B62386399242941","AFG","Shorabak",129157.225005268
2002,"17698898B71465249447941","AFG","Omna",22924.8001974266
2002,"17698898B3457791350599","AFG","Yosuf Khel",76316.5523025691
2002,"17698898B90427677065575","AFG","Hisa-i-Duwumi Kohistan",285952.937376784
2002,"17698898B16178473007687","AFG","Spin Boldak",5025467.19891165
2002,"17698898B76739008753314","AFG","Yahya Khel",51426.8531964106
2002,"17698898B22800261216411","AFG","Hisa-i-Awali Kohistan",322317.702840401
2002,"17698898B69048224790287","AFG","Arghistan",778348.622836189
2002,"17698898B30671190728626","AFG","Zarghun Shahr",128685.676978339
2002,"17698898B87789129076781","AFG","Panjwayi",443362.241110818
2002,"17698898B85596304948243","AFG","Salang",22985.6519880271
2002,"17698898B3536630965398","AFG","Kandahar",9859873.33268959
2002,"17698898B46371415071663","AFG","Jabalussaraj",401605.823868411
2002,"17698898B85546935814968","AFG","Jani Khel",89954.9407791576
2002,"17698898B75395514710531","AFG","Daman",1445747.30955917
2002,"17698898B96190613421572","AFG","Kohi Safi",8322.29700021601
2002,"17698898B75574585660656","AFG","Dila",69458.6675034202
2002,"17698898B71321154096819","AFG","Shah Wali Kot",237166.198942301
