"year","shapeID","country","adm2","built_m2"
2025,"17698898B67359070524975","AFG","Deh Bala",999937.917277419
2025,"17698898B98443198567384","AFG","Gulran",412292.790784538
2025,"17698898B82675281335003","AFG","Koshk",778555.785340471
2025,"17698898B74585757664988","AFG","Chaparhar",6115587.30451676
2025,"17698898B84066352785355","AFG","Koshki Kohna",81808.0006095171
2025,"17698898B31168234973124","AFG","Pachier Agam",1309344.73403392
2025,"17698898B88962028797570","AFG","Kohsan",1149647.62414762
2025,"17698898B58246966451205","AFG","Khogayani",5192519.13374977
2025,"17698898B9118080572878","AFG","Shirzad",1644463.0452446
2025,"17698898B30811011988841","AFG","Ghoryan",1816717.2493932
2025,"17698898B26698492431192","AFG","Hesarak",974220.330724478
2025,"17698898B40667895693210","AFG","Zanda  Jan
",849110.083316201
2025,"17698898B91002428816885","AFG","Azra",183267.825903645
2025,"17698898B41376487693068","AFG","Guzara",4207536.76894718
2025,"17698898B76505255120202","AFG","Karukh",509353.763615056
2025,"17698898B14177024461677","AFG","Ali Khail (Jaji)",1437892.31589876
2025,"17698898B13869186183429","AFG","Dand Patan",1450862.71843232
2025,"17698898B48568225140824","AFG","Pashtun Zarghun",1127735.70096992
2025,"17698898B82499644290934","AFG","Chamkani",2434496.42112515
2025,"17698898B63154587164483","AFG","Laja Ahmad Khail",695533.893225089
2025,"17698898B66498358059232","AFG","Sayed Karam",873934.46287058
2025,"17698898B88187802806148","AFG","Ahmad Abad",1644076.77075941
2025,"17698898B82424005626981","AFG","Obe",791555.516121809
2025,"17698898B50071469520952","AFG","Jani Khail",181210.850570959
2025,"17698898B70680099642368","AFG","Farsi",2566.99994740449
2025,"17698898B10808081288517","AFG","Gardiz",11223411.1602095
2025,"17698898B98040886120926","AFG","Zurmat",4890134.66958973
2025,"17698898B63284847438017","AFG","Anar Dara",254945.68430152
2025,"17698898B57803424859740","AFG","Shawak",29135.2842098713
2025,"17698898B70788174101538","AFG","Qala Ka",182165.132188795
2025,"17698898B43056583417710","AFG","Khaki Safed",105904.402055724
2025,"17698898B23157226416647","AFG","Shindand",3707865.83712274
2025,"17698898B94993264286601","AFG","Zadran",449548.471977748
2025,"17698898B38396690303170","AFG","Jaji Maidan",1683378.7844593
2025,"17698898B23350919974293","AFG","Bak",1618907.40554475
2025,"17698898B4337459540017","AFG","Shib Koh",470437.448096895
2025,"17698898B69525481970606","AFG","Sabri",4749566.26762026
2025,"17698898B12487072568653","AFG","Lash Wa Juwayn",120846.159809774
2025,"17698898B13286214983571","AFG","Tere Zayi",4395203.93692644
2025,"17698898B71599149457148","AFG","Pusht Rod",398760.087433509
2025,"17698898B48544319080592","AFG","Mosa Khail",561352.266874317
2025,"17698898B12847742424468","AFG","Farah",7343251.31631371
2025,"17698898B50021728189298","AFG","Qalandar",93301.5365754747
2025,"17698898B60738219309416","AFG","Bala Buluk",687426.184634827
2025,"17698898B35159094518715","AFG","Nadir Shah Kot",2054258.26606556
2025,"17698898B61842936481586","AFG","Gulistan",47506.3889381494
2025,"17698898B7218373032226","AFG","Khost(Matun)",17021523.473953
2025,"17698898B51729905625670","AFG","Gurbuz",2643748.9825882
2025,"17698898B41043106697334","AFG","Pur Chaman",59260.9786754139
2025,"17698898B31116405926030","AFG","Mando Zayi",5961385.19574017
2025,"17698898B67472405327916","AFG","Tani",3821452.36036258
2025,"17698898B50082095746100","AFG","Chahar Dara",3381246.16307631
2025,"17698898B63900733266218","AFG","Bakwa",73673.9656579988
2025,"17698898B16828551038730","AFG","Shamal",291470.701060644
2025,"17698898B60886536033067","AFG","Kunduz",12395742.0054128
2025,"17698898B16660327351788","AFG","Spira",515856.558402059
2025,"17698898B59041256807288","AFG","Guzargahi Nur",3439.80002322583
2025,"17698898B22210022467973","AFG","Mohammad Agha",358932.733298612
2025,"17698898B48695657788361","AFG","Khoshi",100528.224168697
2025,"17698898B99069409178709","AFG","Farang Wa Gharu",22974.9990518394
2025,"17698898B11646874618159","AFG","Puli Alam",2057291.19203827
2025,"17698898B6565197896692","AFG","Khost Wa Firing",143681.006222321
2025,"17698898B34606037215802","AFG","Baraki Barak",2158430.39477394
2025,"17698898B10942587519321","AFG","Puli Hisar",21072.8744551213
