"year","shapeID","country","adm2","built_m2"
2012,"17698898B67359070524975","AFG","Deh Bala",397591.066498126
2012,"17698898B98443198567384","AFG","Gulran",398808.135949015
2012,"17698898B82675281335003","AFG","Koshk",724605.204492452
2012,"17698898B74585757664988","AFG","Chaparhar",3292017.77615805
2012,"17698898B84066352785355","AFG","Koshki Kohna",78736.4005132943
2012,"17698898B31168234973124","AFG","Pachier Agam",573506.583641029
2012,"17698898B88962028797570","AFG","Kohsan",1103601.65881606
2012,"17698898B58246966451205","AFG","Khogayani",2409601.78710348
2012,"17698898B9118080572878","AFG","Shirzad",668634.794345228
2012,"17698898B30811011988841","AFG","Ghoryan",1730889.87957364
2012,"17698898B26698492431192","AFG","Hesarak",508821.196407584
2012,"17698898B40667895693210","AFG","Zanda  Jan
",813718.614622896
2012,"17698898B91002428816885","AFG","Azra",71778.6266436538
2012,"17698898B41376487693068","AFG","Guzara",3512049.00477911
2012,"17698898B76505255120202","AFG","Karukh",488431.652141822
2012,"17698898B14177024461677","AFG","Ali Khail (Jaji)",680173.463895472
2012,"17698898B13869186183429","AFG","Dand Patan",681076.144177315
2012,"17698898B48568225140824","AFG","Pashtun Zarghun",1086090.48988005
2012,"17698898B82499644290934","AFG","Chamkani",1577040.70288615
2012,"17698898B63154587164483","AFG","Laja Ahmad Khail",308838.635941446
2012,"17698898B66498358059232","AFG","Sayed Karam",401165.239244901
2012,"17698898B88187802806148","AFG","Ahmad Abad",822177.061656979
2012,"17698898B82424005626981","AFG","Obe",761872.961955693
2012,"17698898B50071469520952","AFG","Jani Khail",96885.0578881121
2012,"17698898B70680099642368","AFG","Farsi",2516.00004000217
2012,"17698898B10808081288517","AFG","Gardiz",6794791.12163291
2012,"17698898B98040886120926","AFG","Zurmat",2707367.00822779
2012,"17698898B63284847438017","AFG","Anar Dara",246807.983531997
2012,"17698898B57803424859740","AFG","Shawak",19743.9243478825
2012,"17698898B70788174101538","AFG","Qala Ka",173681.209228285
2012,"17698898B43056583417710","AFG","Khaki Safed",103092.842645214
2012,"17698898B23157226416647","AFG","Shindand",3601136.84712436
2012,"17698898B94993264286601","AFG","Zadran",172444.123394688
2012,"17698898B38396690303170","AFG","Jaji Maidan",752860.472251918
2012,"17698898B23350919974293","AFG","Bak",804636.915682059
2012,"17698898B4337459540017","AFG","Shib Koh",454511.916751466
2012,"17698898B69525481970606","AFG","Sabri",2757970.62922612
2012,"17698898B12487072568653","AFG","Lash Wa Juwayn",115904.782072673
2012,"17698898B13286214983571","AFG","Tere Zayi",2110348.32244025
2012,"17698898B71599149457148","AFG","Pusht Rod",386772.111401256
2012,"17698898B48544319080592","AFG","Mosa Khail",284191.474374917
2012,"17698898B12847742424468","AFG","Farah",6406994.01809493
2012,"17698898B50021728189298","AFG","Qalandar",66895.2511096949
2012,"17698898B60738219309416","AFG","Bala Buluk",667469.48286568
2012,"17698898B35159094518715","AFG","Nadir Shah Kot",1121614.47369018
2012,"17698898B61842936481586","AFG","Gulistan",45238.4511839617
2012,"17698898B7218373032226","AFG","Khost(Matun)",11628732.1955278
2012,"17698898B51729905625670","AFG","Gurbuz",1321978.88783852
2012,"17698898B41043106697334","AFG","Pur Chaman",57769.1566395906
2012,"17698898B31116405926030","AFG","Mando Zayi",4656940.35797423
2012,"17698898B67472405327916","AFG","Tani",1685269.45823515
2012,"17698898B50082095746100","AFG","Chahar Dara",2723339.52954529
2012,"17698898B63900733266218","AFG","Bakwa",71887.3723929748
2012,"17698898B16828551038730","AFG","Shamal",135699.593305115
2012,"17698898B60886536033067","AFG","Kunduz",10366162.1519749
2012,"17698898B16660327351788","AFG","Spira",262107.762761843
2012,"17698898B59041256807288","AFG","Guzargahi Nur",2329.64851797581
2012,"17698898B22210022467973","AFG","Mohammad Agha",277384.333261875
2012,"17698898B48695657788361","AFG","Khoshi",38949.7476756044
2012,"17698898B99069409178709","AFG","Farang Wa Gharu",18519.7989984279
2012,"17698898B11646874618159","AFG","Puli Alam",1632561.31183332
2012,"17698898B6565197896692","AFG","Khost Wa Firing",109779.804641359
2012,"17698898B34606037215802","AFG","Baraki Barak",1552681.97398528
2012,"17698898B10942587519321","AFG","Puli Hisar",19828.6399218167
2012,"17698898B52143357969212","AFG","Charkh",464728.297345619
2012,"17698898B82701186075668","AFG","Kharwar",215986.784235565
2012,"17698898B87088675092373","AFG","Burka",612421.102655155
2012,"17698898B97188555075093","AFG","Khas Kunar",631368.481787442
2012,"17698898B50805537510816","AFG","Nurgal",334972.002903951
2012,"17698898B284678917294","AFG","Dih Salah",148622.698683167
2012,"17698898B13238252869015","AFG","Chawkay",596695.881583032
2012,"17698898B633920692247","AFG","Khwaja Hijran (Jilga Nahrin)",7841.34897522889
2012,"17698898B49094759287106","AFG","Narang",956212.874340004
2012,"17698898B66712247557735","AFG","Kang",32271.592350053
2012,"17698898B32644110556911","AFG","Baghlani Jadid",4718920.5401468
2012,"17698898B43925637284130","AFG","Chapa Dara",301681.130249826
2012,"17698898B39156943056373","AFG","Zaranj",6272123.35502808
2012,"17698898B74946320403220","AFG","Asadabad",1186994.84092649
2012,"17698898B34012534665236","AFG","Puli Khumri",4628954.33032169
2012,"17698898B12728543796406","AFG","Sarkani",445308.545108773
2012,"17698898B34314103911118","AFG","Chahar Burjak",472957.75826154
2012,"17698898B22383427297645","AFG","Nahrin",855011.271940198
2012,"17698898B77023916462062","AFG","Marawara",320440.219885861
2012,"17698898B69274941627579","AFG","Chakhansur",178666.83291988
2012,"17698898B69264511161666","AFG","Andarab",39960.1944882043
2012,"17698898B17409379319517","AFG","Khinjan",290443.39871753
2012,"17698898B95618579984997","AFG","Shaygal wa shital",416906.620497709
2012,"17698898B58844392220215","AFG","Khash Rod",676521.434885739
2012,"17698898B27904956690533","AFG","Dushi",655686.855040133
2012,"17698898B49910454876794","AFG","Dara-I-Pech",548331.458438738
2012,"17698898B25309519003719","AFG","Dishu",184481.19631407
2012,"17698898B98707545256283","AFG","Dahana-I- Ghuri",500760.641170053
2012,"17698898B10413991082827","AFG","Wata Pur",276190.687539264
2012,"17698898B2508287101636","AFG","Reg(Khanshin)",164173.274510068
2012,"17698898B52947947135359","AFG","Tala Wa Barfak",25069.4455015812
2012,"17698898B27007301103583","AFG","Dangam",163080.552824721
2012,"17698898B34482796057231","AFG","Garmser",265677.434132218
2012,"17698898B82085678459106","AFG","Bar Kunar",133992.75360218
2012,"17698898B9822156796156","AFG","Paryan",1613.01607387536
2012,"17698898B23236612264479","AFG","Nawa-I- Barak Zayi",117084.075491097
2012,"17698898B49694139697201","AFG","Ghaziabad",154407.099158357
2012,"17698898B57544196063492","AFG","Khenj (Hese- Awal)",24147.6414279837
2012,"17698898B93501902948280","AFG","Nad Ali",629183.833636606
2012,"17698898B78521415915100","AFG","Nari",235718.830844057
2012,"17698898B70025799678944","AFG","Ziruk",69843.580059082
2012,"17698898B22352554505248","AFG","Nahri Sarraj",1554462.07855757
2012,"17698898B32986423945251","AFG","Bazarak",153642.106027213
2012,"17698898B167183806480","AFG","Lashkar Gah",4283403.74638818
2012,"17698898B76017578354726","AFG","Nika",27286.0350664782
2012,"17698898B71703822686681","AFG","Dara",131.042866235413
2012,"17698898B63216716382211","AFG","Sangin",449451.935876412
2012,"17698898B31718885342690","AFG","Gayan",100791.062361478
2012,"17698898B51750891516418","AFG","Rukha",92193.9707925607
2012,"17698898B29414773205721","AFG","Kajaki",613873.471803186
2012,"17698898B81639948392076","AFG","Urgun",953042.463477125
2012,"17698898B86893454332633","AFG","Unaba",184699.411955727
2012,"17698898B96274707297205","AFG","Naw Zad",181933.773717767
2012,"17698898B73657459588515","AFG","Sar Hawza",175656.01068932
2012,"17698898B27579571424346","AFG","Shutul",4849.82134149105
2012,"17698898B14674073600616","AFG","Musa Qala",736310.957608613
2012,"17698898B70029244120792","AFG","Mata Khan",191998.77387235
2012,"17698898B62190249131225","AFG","Alasay",204962.930025154
2012,"17698898B15919803433958","AFG","Sharan",884294.665258639
2012,"17698898B34489246879191","AFG","Baghran",190421.060351452
