"year","shapeID","country","adm2","built_m2"
2018,"17698898B67359070524975","AFG","Deh Bala",673546.522197163
2018,"17698898B98443198567384","AFG","Gulran",408065.443777224
2018,"17698898B82675281335003","AFG","Koshk",764723.628124883
2018,"17698898B74585757664988","AFG","Chaparhar",5006962.76100246
2018,"17698898B84066352785355","AFG","Koshki Kohna",80930.0000398308
2018,"17698898B31168234973124","AFG","Pachier Agam",898224.600480991
2018,"17698898B88962028797570","AFG","Kohsan",1134482.50141922
2018,"17698898B58246966451205","AFG","Khogayani",3718338.49864351
2018,"17698898B9118080572878","AFG","Shirzad",1089420.68364925
2018,"17698898B30811011988841","AFG","Ghoryan",1786900.38519305
2018,"17698898B26698492431192","AFG","Hesarak",719678.155096342
2018,"17698898B40667895693210","AFG","Zanda  Jan
",837879.31405248
2018,"17698898B91002428816885","AFG","Azra",128149.975430245
2018,"17698898B41376487693068","AFG","Guzara",3965592.33043724
2018,"17698898B76505255120202","AFG","Karukh",503755.659207226
2018,"17698898B14177024461677","AFG","Ali Khail (Jaji)",996013.552581399
2018,"17698898B13869186183429","AFG","Dand Patan",1050071.01585706
2018,"17698898B48568225140824","AFG","Pashtun Zarghun",1115198.74787128
2018,"17698898B82499644290934","AFG","Chamkani",1947110.27612875
2018,"17698898B63154587164483","AFG","Laja Ahmad Khail",489082.853179578
2018,"17698898B66498358059232","AFG","Sayed Karam",614706.836245101
2018,"17698898B88187802806148","AFG","Ahmad Abad",1205625.3413394
2018,"17698898B82424005626981","AFG","Obe",785333.567693254
2018,"17698898B50071469520952","AFG","Jani Khail",139483.024570884
2018,"17698898B70680099642368","AFG","Farsi",2552.59993854426
2018,"17698898B10808081288517","AFG","Gardiz",9243094.16525059
2018,"17698898B98040886120926","AFG","Zurmat",3740019.12513448
2018,"17698898B63284847438017","AFG","Anar Dara",252922.938804787
2018,"17698898B57803424859740","AFG","Shawak",25225.8971411555
2018,"17698898B70788174101538","AFG","Qala Ka",179557.290881408
2018,"17698898B43056583417710","AFG","Khaki Safed",105032.498149485
2018,"17698898B23157226416647","AFG","Shindand",3673262.23650964
2018,"17698898B94993264286601","AFG","Zadran",306786.447082706
2018,"17698898B38396690303170","AFG","Jaji Maidan",1185961.67520079
2018,"17698898B23350919974293","AFG","Bak",1172344.77093315
2018,"17698898B4337459540017","AFG","Shib Koh",465275.380574714
2018,"17698898B69525481970606","AFG","Sabri",3640986.87073114
2018,"17698898B12487072568653","AFG","Lash Wa Juwayn",119617.407135496
2018,"17698898B13286214983571","AFG","Tere Zayi",3268425.50693238
2018,"17698898B71599149457148","AFG","Pusht Rod",394930.01050209
2018,"17698898B48544319080592","AFG","Mosa Khail",410725.287779711
2018,"17698898B12847742424468","AFG","Farah",7073135.8726572
2018,"17698898B50021728189298","AFG","Qalandar",80599.3371598633
2018,"17698898B60738219309416","AFG","Bala Buluk",681672.397924998
2018,"17698898B35159094518715","AFG","Nadir Shah Kot",1581374.87016557
2018,"17698898B61842936481586","AFG","Gulistan",46765.6487098838
2018,"17698898B7218373032226","AFG","Khost(Matun)",14345643.0607689
2018,"17698898B51729905625670","AFG","Gurbuz",1947899.63686128
2018,"17698898B41043106697334","AFG","Pur Chaman",58849.2710910036
2018,"17698898B31116405926030","AFG","Mando Zayi",5244788.08279562
2018,"17698898B67472405327916","AFG","Tani",2655831.66960001
2018,"17698898B50082095746100","AFG","Chahar Dara",2922977.47518745
2018,"17698898B63900733266218","AFG","Bakwa",73169.8085423903
2018,"17698898B16828551038730","AFG","Shamal",220949.514410905
2018,"17698898B60886536033067","AFG","Kunduz",11534137.1287143
2018,"17698898B16660327351788","AFG","Spira",391579.665444534
2018,"17698898B59041256807288","AFG","Guzargahi Nur",3159.48478539178
2018,"17698898B22210022467973","AFG","Mohammad Agha",308735.125310642
2018,"17698898B48695657788361","AFG","Khoshi",61144.3560596964
2018,"17698898B99069409178709","AFG","Farang Wa Gharu",19210.3994070917
2018,"17698898B11646874618159","AFG","Puli Alam",1815157.60492563
2018,"17698898B6565197896692","AFG","Khost Wa Firing",124593.205398246
2018,"17698898B34606037215802","AFG","Baraki Barak",1778593.35815709
2018,"17698898B10942587519321","AFG","Puli Hisar",20767.1221729696
2018,"17698898B52143357969212","AFG","Charkh",542047.9340841
2018,"17698898B82701186075668","AFG","Kharwar",312858.750555114
2018,"17698898B87088675092373","AFG","Burka",1162291.48120652
2018,"17698898B97188555075093","AFG","Khas Kunar",1309711.47269693
2018,"17698898B50805537510816","AFG","Nurgal",547737.462632665
2018,"17698898B284678917294","AFG","Dih Salah",168886.102898282
2018,"17698898B13238252869015","AFG","Chawkay",1019688.18695897
